orig.order,row,studyName,site,Event,Event1,Event2,Driver,PressPulse,EventPred,PredictionOld,Prediction,EventDate1,EventDate2,Lat,Long,nSiteReps,Climate,notes,Protection,SiteLengthKM,SQMextra,Depth_m
102,64,Hall,Howdon,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31686,NA,54.987,-1.496,1,temperate,,4_urban,NA,NA,
100,132,Hall,NorthShields,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31686,NA,55.012,-1.424,1,temperate,,4_urban,NA,NA,
103,146,Hall,Quayside,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31686,NA,54.97,-1.588,1,temperate,,4_urban,NA,NA,
104,159,Hall,Scotswood,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31686,NA,54.966,-1.689,1,temperate,,4_urban,NA,NA,
101,171,Hall,SouthShields,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31686,NA,54.988,-1.452,1,temperate,,4_urban,NA,NA,
105,53,Hawkins,fished,no,NA,NA,None,None,NA,neutral,none,NA,NA,13.837,-61.076,8,tropical,,2_unprotected,NA,NA,
106,149,Hawkins,reserve,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,35065,NA,13.837,-61.076,8,tropical,,1_protected,NA,NA,
184,35,HernandezMiranda,ColiumoBay,yes,HypoxicUpwelling,NA,Hypoxia,Pulse,negative,negative,negative,39450,NA,-36.535,-72.95,3,subtropical,,2_unprotected,NA,NA,
185,118,Hidalgo,Mejillones,yes,1998 El Nino,NA,Warming (regional) 1998 El Nino,Pulse,NA,neutral,neutral,35551,NA,-23.017,-70.442,1,tropical,,2_unprotected,NA,NA,
107,130,IbarraObando,Non-tidal,yes,DikeConstruction,NA,Dike construction,Press,negative,negative,negative,30713,NA,31.72,-116.655,1,subtropical,,3_estuary,NA,NA,
108,179,IbarraObando,Tidal,no,NA,NA,None,None,NA,neutral,none,NA,NA,31.722,-116.651,1,subtropical,,3_estuary,NA,NA,
,39,IMOS,Darwin,no,NA,NA,None,None,NA,neutral,none,NA,NA,-12.417,130.783,1,tropical,,2_unprotected,NA,NA,
25,48,IMOS,Esperance,no,NA,NA,None,None,NA,neutral,none,NA,NA,-33.9333,121.85,1,subtropical,,2_unprotected,NA,NA,
26,72,IMOS,Kangaroo Island,no,NA,NA,None,None,NA,neutral,none,NA,NA,-35.836,136.448,1,subtropical,,2_unprotected,NA,NA,
27,114,IMOS,Maria Island,no,NA,NA,None,None,NA,neutral,none,NA,NA,-42.597,148.233,1,temperate,,2_unprotected,NA,NA,
28,131,IMOS,North Stradbroke,no,NA,NA,None,None,NA,neutral,none,NA,NA,-27.389,153.58,1,subtropical,,2_unprotected,NA,NA,
29,145,IMOS,Port Hacking,no,NA,NA,None,None,NA,neutral,none,NA,NA,-34.1192,151.2267,1,subtropical,,2_unprotected,NA,NA,
31,152,IMOS,Rottnest Island,no,NA,NA,None,None,NA,neutral,none,NA,NA,-32,115.417,1,subtropical,,2_unprotected,NA,NA,
32,200,IMOS,Yongala,no,NA,NA,None,None,NA,neutral,none,NA,NA,-19.306,147.26,1,tropical,,2_unprotected,NA,NA,
,128,IMOS,Ningaloo,no,NA,NA,None,None,NA,neutral,none,NA,NA,-21.871,113.947,1,tropical,,2_unprotected,NA,NA,
109,52,Ivanov,Farm,yes,Organic enrichment from mussel farm,NA,Eutrophication,Press,negative,negative,negative,32325,NA,66.215,33.92,1,temperate,,3_estuary,NA,NA,
110,129,Ivanov,NoFarm,yes,Removal of mussel farm,NA,Eutrohication cessation,Press,positive,positive,positive,33786,NA,66.215,33.92,1,temperate,,3_estuary,NA,NA,
111,18,Jones,Burrill,no,NA,NA,None,None,NA,neutral,none,NA,NA,-35.373,150.431,12,subtropical,,3_estuary,1,NA,
112,34,Jones,Coila,no,NA,NA,None,None,NA,neutral,none,NA,NA,-36.025,150.127,12,subtropical,,3_estuary,1,NA,
113,36,Jones,Conjola,no,NA,NA,None,None,NA,neutral,none,NA,NA,-35.26,150.462,12,subtropical,,3_estuary,1,NA,
114,67,Jones,Illawarra,no,NA,NA,None,None,NA,neutral,none,NA,NA,-34.524,150.834,12,subtropical,,3_estuary,10,NA,
115,176,Jones,StGeorges,no,NA,NA,None,None,NA,neutral,none,NA,NA,-35.124,150.611,12,subtropical,,3_estuary,10,NA,
116,191,Jones,Wallaga,no,NA,NA,None,None,NA,neutral,none,NA,NA,-36.369,150.058,12,subtropical,,3_estuary,1,NA,
117,41,Keller,deep,no,NA,NA,None,None,NA,neutral,none,NA,NA,40,-125,220,temperate,,2_unprotected,NA,NA,
118,119,Keller,mid,no,NA,NA,None,None,NA,neutral,none,NA,NA,40,-124.75,220,temperate,,2_unprotected,NA,NA,
119,162,Keller,shallow,no,NA,NA,None,None,NA,neutral,none,NA,NA,40,-124.5,220,temperate,,2_unprotected,NA,NA,
158,9,KelmoForam,BahiaKF,yes,1998 El Nino,NA,Warming (regional) 1998 El Nino,Pulse,NA,neutral,neutral,35947,NA,-12.64,-38.04,4,tropical,,2_unprotected,NA,NA,
160,10,KelmoInv,BahiaKI,yes,1998 El Nino,NA,Warming (regional) 1998 El Nino,Pulse,NA,neutral,neutral,35947,NA,-12.642,-38.042,4,tropical,,2_unprotected,NA,NA,
159,11,KelmoSponge,BahiaKS,yes,1998 El Nino,NA,Warming (regional) 1998 El Nino,Pulse,NA,neutral,neutral,35947,NA,-12.641,-38.041,4,tropical,,2_unprotected,NA,NA,
33,75,KFMP,KFMP1,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.02236667,-120.3874667,1,subtropical,San Miguel Island,2_unprotected,NA,NA,
34,76,KFMP,KFMP10,no,NA,NA,None,None,NA,neutral,none,NA,NA,33.98983333,-119.5630667,1,subtropical,Santa Cruz Island,2_unprotected,NA,NA,
35,77,KFMP,KFMP11,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.00775,-119.4343833,1,subtropical,Anacapa Island,2_unprotected,NA,NA,
36,78,KFMP,KFMP12,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,28491,NA,34.01586667,-119.3717333,1,subtropical,Anacapa Island,1_protected,NA,NA,
37,79,KFMP,KFMP13,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,34.01703333,-119.3611333,1,subtropical,Anacapa Island,1_protected,NA,NA,
38,80,KFMP,KFMP14,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,33.46611667,-119.0277833,1,subtropical,Santa Barbara Island,1_protected,NA,NA,
39,81,KFMP,KFMP15,no,NA,NA,None,None,NA,neutral,none,NA,NA,33.48753333,-119.0275833,1,subtropical,Santa Barbara Island,2_unprotected,NA,NA,
40,82,KFMP,KFMP16,no,NA,NA,None,None,NA,neutral,none,NA,NA,33.46441667,-119.0391667,1,subtropical,Santa Barbara Island,2_unprotected,NA,NA,
41,83,KFMP,KFMP2,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,34.06438333,-120.3566,1,subtropical,San Miguel Island,1_protected,NA,NA,
42,84,KFMP,KFMP21,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.0237,-120.3951333,1,subtropical,San Miguel Island,2_unprotected,NA,NA,
43,85,KFMP,KFMP22,no,NA,NA,None,None,NA,neutral,none,NA,NA,33.92303333,-120.1873667,1,subtropical,Santa Rosa Island,2_unprotected,NA,NA,
44,86,KFMP,KFMP23,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,33.90855,-120.1555333,1,subtropical,Santa Rosa Island,1_protected,NA,NA,
45,87,KFMP,KFMP24,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,33.90036667,-120.1356667,1,subtropical,Santa Rosa Island,1_protected,NA,NA,
46,88,KFMP,KFMP25,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,33.89233333,-120.1195,1,subtropical,Santa Rosa Island,1_protected,NA,NA,
47,89,KFMP,KFMP26,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.04488333,-119.6012667,1,subtropical,Santa Cruz Island,2_unprotected,NA,NA,
48,90,KFMP,KFMP27,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,34.05216667,-119.5821167,1,subtropical,Santa Cruz Island,1_protected,NA,NA,
49,91,KFMP,KFMP28,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,34.05428333,-119.5668667,1,subtropical,Santa Cruz Island,1_protected,NA,NA,
50,92,KFMP,KFMP29,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.04415,-119.54245,1,subtropical,Santa Cruz Island,2_unprotected,NA,NA,
51,93,KFMP,KFMP3,no,NA,NA,None,None,NA,neutral,none,NA,NA,33.90146667,-120.1029667,1,subtropical,Santa Rosa Island,2_unprotected,NA,NA,
52,94,KFMP,KFMP30,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.03836667,-119.5253,1,subtropical,Santa Cruz Island,2_unprotected,NA,NA,
53,95,KFMP,KFMP31,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,34.01641667,-119.4320167,1,subtropical,Anacapa Island,1_protected,NA,NA,
54,96,KFMP,KFMP32,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.0045,-119.3857833,1,subtropical,Anacapa Island,2_unprotected,NA,NA,
55,97,KFMP,KFMP33,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,34.0126,-119.3891833,1,subtropical,Anacapa Island,1_protected,NA,NA,
56,98,KFMP,KFMP34,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.0141,-119.3590167,1,subtropical,Anacapa Island,2_unprotected,NA,NA,
57,99,KFMP,KFMP35,no,NA,NA,None,None,NA,neutral,none,NA,NA,33.47985,-119.0622,1,subtropical,Santa Barbara Island,2_unprotected,NA,NA,
58,100,KFMP,KFMP36,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,33.47306667,-119.0268167,1,subtropical,Santa Barbara Island,1_protected,NA,NA,
59,101,KFMP,KFMP37,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,33.46293333,-119.0312667,1,subtropical,Santa Barbara Island,1_protected,NA,NA,
60,102,KFMP,KFMP4,no,NA,NA,None,None,NA,neutral,none,NA,NA,33.89753333,-120.10075,1,subtropical,Santa Rosa Island,2_unprotected,NA,NA,
61,103,KFMP,KFMP5,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.03261667,-120.107,1,subtropical,Santa Rosa Island,2_unprotected,NA,NA,
62,104,KFMP,KFMP6,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,33.94966667,-119.8275833,1,subtropical,Santa Cruz Island,1_protected,NA,NA,
63,105,KFMP,KFMP7,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.05635,-119.75515,1,subtropical,Santa Cruz Island,2_unprotected,NA,NA,
64,106,KFMP,KFMP8,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.03488333,-119.7030833,1,subtropical,Santa Cruz Island,2_unprotected,NA,NA,
65,107,KFMP,KFMP9,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,37712,NA,34.04798333,-119.5514,1,subtropical,Santa Cruz Island,1_protected,NA,NA,
121,16,Kilfoyle,boulder,yes,Artificial reef,NA,Artificial reef restoration,Press,positive,positive,positive,37834,NA,26.018,-80.112,25,subtropical,,4_urban,NA,NA,
120,123,Kilfoyle,natural,no,NA,NA,None,None,NA,neutral,none,NA,NA,26.018,-80.112,25,subtropical,,4_urban,NA,NA,
122,190,Masuda,Wakasa,no,NA,NA,None,None,NA,neutral,none,NA,NA,35.547,135.349,1,subtropical,,4_urban,NA,NA,
123,42,McClanahan,Diani,yes,1998 El Nino,NA,Warming (regional) 1998 El Nino,Press,NA,neutral,neutral,35947,NA,-4.319,39.577,1,tropical,,2_unprotected,NA,NA,
124,71,McClanahan,Kanamai,yes,1998 El Nino,NA,Warming (regional) 1998 El Nino,Press,NA,neutral,neutral,35947,NA,-3.921,39.789,1,tropical,,2_unprotected,NA,NA,
125,121,McClanahan,Mombasa,yes,1998 El Nino,NA,Warming (regional) 1998 El Nino,Press,NA,neutral,neutral,35947,NA,-3.989,39.751,1,tropical,,2_unprotected,NA,NA,
126,188,McClanahan,Vipingo,yes,1998 El Nino,NA,Warming (regional) 1998 El Nino,Press,NA,neutral,neutral,35947,NA,-3.803,39.845,1,tropical,,2_unprotected,NA,NA,
127,108,McLusky,Kinneil,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31199,33025,56.029,-3.657,1,temperate,,4_urban,NA,NA,
128,47,Miller,Entrance,no,NA,NA,None,None,NA,neutral,none,NA,NA,43.347,-124.321,1,temperate,,3_estuary,NA,NA,
186,12,Moreira,Baiona,no,NA,NA,None,NA,NA,neutral,none,NA,NA,42.12,-8.85,1,temperate,,3_estuary,NA,NA,
129,31,Noble,closed,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,31778,,17.621,-63.26,2,tropical,,1_protected,NA,NA,
130,136,Noble,open,no,NA,NA,None,None,NA,neutral,none,NA,NA,17.615,-63.232,2,tropical,,2_unprotected,NA,NA,
192,28,Occhipinti,Ces12m,no,NA,NA,None,NA,NA,neutral,none,NA,NA,44.2485,12.482,1,temperate,,2_unprotected,NA,NA,
190,29,Occhipinti,Ces3m,no,NA,NA,None,NA,NA,neutral,none,NA,NA,44.2146,12.4152,1,temperate,,2_unprotected,NA,NA,
191,30,Occhipinti,Ces8m,no,NA,NA,None,NA,NA,neutral,none,NA,NA,44.2292,12.4401,1,temperate,,2_unprotected,NA,NA,
189,142,Occhipinti,PG12m,no,NA,NA,None,NA,NA,neutral,none,NA,NA,44.678,12.426,1,temperate,,2_unprotected,NA,NA,
187,143,Occhipinti,PG3m,no,NA,NA,None,NA,NA,neutral,none,NA,NA,44.678,12.264,1,temperate,,2_unprotected,NA,NA,
188,144,Occhipinti,PG8m,no,NA,NA,None,NA,NA,neutral,none,NA,NA,44.678,12.314,1,temperate,,2_unprotected,NA,NA,
131,15,Robinson,BM,no,NA,NA,None,None,NA,neutral,none,NA,NA,48.723,-123.249,1,temperate,,2_unprotected,NA,NA,
132,23,Robinson,CA,no,NA,NA,None,None,NA,neutral,none,NA,NA,48.723,-123.249,1,temperate,,2_unprotected,NA,NA,
133,63,Robinson,HI,no,NA,NA,None,None,NA,neutral,none,NA,NA,48.899,-125.278,1,temperate,,2_unprotected,NA,NA,
134,150,Robinson,RI,no,NA,NA,None,None,NA,neutral,none,NA,NA,52.393,-131.231,1,temperate,,2_unprotected,NA,NA,
135,178,Robinson,T,no,NA,NA,None,None,NA,neutral,none,NA,NA,48.899,-125.278,1,temperate,,2_unprotected,NA,NA,
66,1,SBC,ABUR,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.400275,-119.7445915,1,subtropical,,2_unprotected,NA,NA,6.4
67,2,SBC,AHND,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.471817,-120.1426165,1,subtropical,,2_unprotected,NA,NA,5.45
68,3,SBC,AQUE,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.46774988,-120.11905,1,subtropical,,2_unprotected,NA,NA,8.05
69,17,SBC,BULL,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.45850533,-120.33349,1,subtropical,,2_unprotected,NA,NA,6.4
70,25,SBC,CARP,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.3916319,-119.5416933,1,subtropical,,2_unprotected,NA,NA,5.5
71,57,SBC,GOLB,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.4137165,-119.9221,1,subtropical,,2_unprotected,NA,NA,NA
72,70,SBC,IVEE,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.402783,-119.85755,1,subtropical,,2_unprotected,NA,NA,8.5
73,120,SBC,MOHK,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.3940708,-119.72957,1,subtropical,,2_unprotected,NA,NA,5.25
74,122,SBC,NAPL,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.4221216,-119.95154,1,subtropical,,2_unprotected,NA,NA,9.65
75,158,SBC,SCDI,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.05865,-119.75763,1,subtropical,,2_unprotected,NA,NA,NA
76,160,SBC,SCTW,no,NA,NA,None,None,NA,neutral,none,NA,NA,34.0444335,-119.71513,1,subtropical,,2_unprotected,NA,NA,NA
77,5,SeaBrook,B17_sha,yes,NuclearPlant,NA,Warming (local) from nuclear plant,Press,neutral,neutral,neutral,33239,NA,42.9,-70.793,1,temperate,,2_unprotected,NA,NA,
78,6,SeaBrook,B19_mid,yes,NuclearPlant,NA,Sedimentation from nuclear plant,Press,negative,negative,negative,33239,NA,42.892,-70.788,1,temperate,,2_unprotected,NA,NA,
79,7,SeaBrook,B31_mid,no,NA,NA,None,None,NA,neutral,none,NA,NA,42.971,-70.753,1,temperate,,2_unprotected,NA,NA,
80,8,SeaBrook,B35_sha,no,NA,NA,None,None,NA,neutral,none,NA,NA,42.96,-70.769,1,temperate,,2_unprotected,NA,NA,
171,40,Sebens,DB,no,NA,NA,None,NA,NA,neutral,none,NA,NA,42.420954,-70.904486,1,temperate,,2_unprotected,NA,NA,
172,65,Sebens,HRI,no,NA,NA,None,NA,NA,neutral,none,NA,NA,42.502203,-70.774596,1,temperate,,2_unprotected,NA,NA,
173,66,Sebens,HRO,no,NA,NA,None,NA,NA,neutral,none,NA,NA,42.502202,-70.775088,1,temperate,,2_unprotected,NA,NA,
174,163,Sebens,SHI,no,NA,NA,None,NA,NA,neutral,none,NA,NA,42.414742,-70.905683,1,temperate,,2_unprotected,NA,NA,
175,164,Sebens,SHO,no,NA,NA,None,NA,NA,neutral,none,NA,NA,42.414885,-70.905211,1,temperate,,2_unprotected,NA,NA,
136,37,Sheaves,Curralea,no,NA,NA,None,None,NA,neutral,none,NA,NA,-19.273,146.787,1,tropical,,4_urban,NA,NA,
137,73,Sheaves,Keyatta,no,NA,NA,None,None,NA,neutral,none,NA,NA,-19.269,146.788,1,tropical,,4_urban,NA,NA,
138,154,Shimanaga,Sagami,no,NA,NA,None,None,NA,neutral,none,NA,NA,35,139.35,1,subtropical,,2_unprotected,NA,NA,
199,26,Shin,CB,no,NA,NA,None,NA,NA,neutral,none,NA,NA,22.289,114.173,2,tropical,,4_urban,NA,NA,
201,140,Shin,PC,no,NA,NA,None,NA,NA,neutral,none,NA,NA,22.293,114.051,2,tropical,,2_unprotected,NA,NA,
198,177,Shin,SWH,no,NA,NA,None,NA,NA,neutral,none,NA,NA,22.294,114.223,2,tropical,,4_urban,NA,NA,
197,182,Shin,TLC,no,NA,NA,None,NA,NA,neutral,none,NA,NA,22.249,114.265,2,tropical,,2_unprotected,NA,NA,
200,184,Shin,TY,no,NA,NA,None,NA,NA,neutral,none,NA,NA,22.306,114.102,2,tropical,,2_unprotected,NA,NA,
139,74,Somerfield,Keys,no,NA,NA,None,None,NA,neutral,none,NA,NA,24.814,-80.737,40,subtropical,,2_unprotected,NA,NA,
140,43,Sonnewald,Dogger,no,NA,NA,None,None,NA,neutral,none,NA,NA,55,2.5,37,temperate,,2_unprotected,NA,NA,
142,19,Svensson,C1_3m,no,NA,NA,None,None,NA,neutral,none,NA,NA,12.644,109.4,1,tropical,,2_unprotected,NA,NA,
